shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
HWY280_SHP,33.511978,-86.809013,1,
HWY280_SHP,33.512451,-86.80806,2,
HWY280_SHP,33.512451,-86.80806,3,
HWY280_SHP,33.513081,-86.80851,4,
HWY280_SHP,33.513081,-86.80851,5,
HWY280_SHP,33.514431,-86.805687,6,
HWY280_SHP,33.514431,-86.805687,7,
HWY280_SHP,33.514359,-86.805557,8,
HWY280_SHP,33.51247,-86.804291,9,
HWY280_SHP,33.510399,-86.803001,10,
HWY280_SHP,33.500591,-86.796272,11,
HWY280_SHP,33.499569,-86.795807,12,
HWY280_SHP,33.499569,-86.795807,13,
HWY280_SHP,33.500259,-86.790741,14,
HWY280_SHP,33.500309,-86.790077,15,
HWY280_SHP,33.500309,-86.790077,16,
HWY280_SHP,33.49966,-86.787437,17,
HWY280_SHP,33.49966,-86.787437,18,
HWY280_SHP,33.50058,-86.787407,19,
HWY280_SHP,33.50108,-86.78846,20,
HWY280_SHP,33.50108,-86.78846,21,
HWY280_SHP,33.501282,-86.788979,22,
HWY280_SHP,33.502251,-86.789001,23,
HWY280_SHP,33.502361,-86.78907,24,
HWY280_SHP,33.50264,-86.789581,25,
HWY280_SHP,33.50264,-86.789581,26,
HWY280_SHP,33.50111,-86.790253,27,
HWY280_SHP,33.500309,-86.790077,28,
HWY280_SHP,33.500309,-86.790077,29,
HWY280_SHP,33.500259,-86.790741,30,
HWY280_SHP,33.499828,-86.793953,31,
HWY280_SHP,33.499828,-86.793953,32,
HWY280_SHP,33.500801,-86.794617,33,
HWY280_SHP,33.500801,-86.794617,34,
HWY280_SHP,33.50116,-86.79187,35,
HWY280_SHP,33.501331,-86.790176,36,
HWY280_SHP,33.501331,-86.790176,37,
HWY280_SHP,33.50174,-86.789978,38,
HWY280_SHP,33.50174,-86.789978,39,
HWY280_SHP,33.501331,-86.789597,40,
HWY280_SHP,33.500721,-86.789497,41,
HWY280_SHP,33.50058,-86.789421,42,
HWY280_SHP,33.50058,-86.789421,43,
HWY280_SHP,33.497051,-86.789177,44,
