trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
hwy280WD0,04:50:00,04:50:00,central,1,,0,0,
hwy280WD0,,,MorrisA20S,2,,0,0,
hwy280WD0,,,5points,3,,0,0,
hwy280WD0,05:15:00,05:15:00,summit,4,,0,0,
hwy280WD0,05:30:00,05:30:00,colonnade,5,,0,0,
hwy280WD0,05:37:00,05:37:00,marriott280,6,,0,0,
hwy280WD0,05:43:00,05:43:00,chickfila280,7,,0,0,
hwy280WD0,05:52:00,05:57:00,walmart280,8,,0,0,
hwy280WD0,06:03:00,06:03:00,chickfila280,9,,0,0,
hwy280WD0,06:06:00,06:06:00,marriott280,10,,0,0,
hwy280WD0,06:15:00,06:15:00,colonnade,11,,0,0,
hwy280WD0,06:21:00,06:21:00,summit,12,,0,0,
hwy280WD0,,,5points,13,,0,0,
hwy280WD0,,,MorrisA20S,14,,0,0,
hwy280WD0,06:43:00,06:43:00,central,15,,0,0,
hwy280WD1,05:50:00,05:50:00,central,1,,0,0,
hwy280WD1,,,MorrisA20S,2,,0,0,
hwy280WD1,,,5points,3,,0,0,
hwy280WD1,06:15:00,06:15:00,summit,4,,0,0,
hwy280WD1,06:30:00,06:30:00,colonnade,5,,0,0,
hwy280WD1,06:37:00,06:37:00,marriott280,6,,0,0,
hwy280WD1,06:43:00,06:43:00,chickfila280,7,,0,0,
hwy280WD1,06:52:00,06:57:00,walmart280,8,,0,0,
hwy280WD1,07:03:00,07:03:00,chickfila280,9,,0,0,
hwy280WD1,07:06:00,07:06:00,marriott280,10,,0,0,
hwy280WD1,07:21:00,07:21:00,summit,11,,0,0,
hwy280WD1,,,5points,12,,0,0,
hwy280WD1,,,MorrisA20S,13,,0,0,
hwy280WD1,07:43:00,07:43:00,central,14,,0,0,
hwy280WD2,06:50:00,06:50:00,central,1,,0,0,
hwy280WD2,,,MorrisA20S,2,,0,0,
hwy280WD2,,,5points,3,,0,0,
hwy280WD2,07:15:00,07:15:00,summit,4,,0,0,
