central,baptistmedctr,westendhigh,JeffersonA40Ssw,5A19SBessemer,westlake,walmartbessemer,medicalwest,medicalwest,westlake,5A19SBessemer,JeffersonA40Ssw,westendhigh,baptistmedctr,central
--,--,--,--,--,--,--,--,--,--,06:05:00,06:13:00,06:30:00,06:36:00,06:46:00
--,--,--,--,--,--,--,--,06:52:00,06:56:00,07:05:00,07:13:00,07:30:00,07:36:00,07:46:00
06:50:00,07:07:00,07:14:00,07:23:00,07:41:00,--,--,07:49:00,07:54:00,07:58:00,08:07:00,08:15:00,08:32:00,08:38:00,08:48:00
07:50:00,08:07:00,08:14:00,08:23:00,08:41:00,--,08:52:00,08:55:00,09:00:00,--,09:09:00,09:17:00,09:34:00,09:40:00,09:50:00
08:50:00,09:07:00,09:14:00,09:23:00,09:41:00,--,09:52:00,09:55:00,10:00:00,--,10:09:00,10:17:00,10:34:00,10:40:00,10:50:00
09:50:00,10:07:00,10:14:00,10:23:00,10:41:00,--,10:52:00,10:55:00,11:00:00,--,11:09:00,11:17:00,11:34:00,11:40:00,11:50:00
10:50:00,11:07:00,11:14:00,11:23:00,11:41:00,--,11:52:00,11:55:00,12:00:00,--,12:09:00,12:17:00,12:34:00,12:40:00,12:50:00
11:50:00,12:07:00,12:14:00,12:23:00,12:41:00,--,12:52:00,12:55:00,13:00:00,--,13:09:00,13:17:00,13:34:00,13:40:00,13:50:00
12:50:00,13:07:00,13:14:00,13:23:00,13:41:00,--,13:52:00,13:55:00,14:00:00,--,14:09:00,14:17:00,14:34:00,14:40:00,14:50:00
13:50:00,14:07:00,14:14:00,14:23:00,14:41:00,14:51:00,--,15:01:00,15:06:00,--,15:15:00,15:25:00,15:40:00,15:46:00,15:56:00
14:50:00,15:07:00,15:14:00,15:23:00,15:41:00,--,15:52:00,15:55:00,16:00:00,--,16:09:00,16:17:00,16:34:00,16:40:00,16:50:00
16:00:00,16:17:00,16:24:00,16:33:00,16:51:00,17:01:00,--,17:11:00,17:16:00,--,17:25:00,17:33:00,17:50:00,17:56:00,18:06:00
17:00:00,17:17:00,17:24:00,17:33:00,17:51:00,--,18:02:00,18:05:00,18:10:00,--,18:19:00,18:27:00,18:44:00,18:50:00,19:00:00
18:10:00,18:27:00,18:34:00,18:43:00,19:01:00,--,19:12:00,19:15:00,19:20:00,--,19:29:00,19:39:00,19:54:00,20:00:00,20:10:00
19:00:00,19:17:00,19:24:00,19:33:00,19:51:00,--,20:02:00,20:05:00,20:05:00,--,20:13:00,20:21:00,20:35:00,20:41:00,20:50:00
20:10:00,20:25:00,20:32:00,20:41:00,20:56:00,--,--,--,--,--,--,--,--,--,--
