central,baptistmedctr,westendhigh,JeffersonA40Ssw,5A19SBessemer,westlake,walmartbessemer,medicalwest,medicalwest,westlake,5A19SBessemer,JeffersonA40Ssw,westendhigh,baptistmedctr,central
--,--,--,--,--,--,--,--,--,--,04:29:00,04:47:00,04:54:00,05:00:00,05:08:00
--,--,--,--,--,--,--,--,05:15:00,05:20:00,05:29:00,05:47:00,05:54:00,06:00:00,06:08:00
05:10:00,05:27:00,05:34:00,05:43:00,06:01:00,--,06:12:00,06:15:00,06:16:00,06:20:00,06:29:00,06:47:00,06:54:00,07:00:00,07:08:00
06:10:00,06:27:00,06:34:00,06:43:00,07:01:00,--,07:12:00,07:15:00,07:20:00,--,07:29:00,07:47:00,07:54:00,08:00:00,08:08:00
07:10:00,07:27:00,07:34:00,07:43:00,08:01:00,--,08:12:00,08:15:00,08:20:00,--,08:29:00,08:47:00,08:54:00,09:00:00,09:08:00
08:10:00,08:27:00,08:34:00,08:43:00,09:01:00,--,09:12:00,09:15:00,09:20:00,--,09:29:00,09:47:00,09:54:00,10:00:00,10:08:00
09:10:00,09:27:00,09:34:00,09:43:00,10:01:00,--,10:12:00,10:15:00,10:20:00,--,10:29:00,10:47:00,10:54:00,11:00:00,11:08:00
10:10:00,10:27:00,10:34:00,10:43:00,11:01:00,--,11:12:00,11:15:00,11:20:00,--,11:29:00,11:47:00,11:54:00,12:00:00,12:08:00
11:10:00,11:27:00,11:34:00,11:43:00,12:01:00,--,12:12:00,12:15:00,12:20:00,--,12:29:00,12:47:00,12:54:00,13:00:00,13:08:00
12:10:00,12:27:00,12:34:00,12:43:00,13:01:00,13:11:00,--,13:15:00,13:20:00,--,13:29:00,13:47:00,13:54:00,14:00:00,14:08:00
13:10:00,13:27:00,13:34:00,13:43:00,14:01:00,14:11:00,--,14:15:00,14:20:00,--,14:29:00,14:47:00,14:54:00,15:00:00,15:08:00
14:10:00,14:27:00,14:34:00,14:43:00,15:01:00,--,15:12:00,15:15:00,15:20:00,--,15:29:00,15:47:00,15:54:00,16:00:00,16:08:00
15:10:00,15:27:00,15:34:00,15:43:00,16:01:00,--,16:12:00,16:15:00,16:20:00,--,16:29:00,16:47:00,16:54:00,17:00:00,17:08:00
16:10:00,16:27:00,16:34:00,16:43:00,17:01:00,--,17:12:00,17:15:00,17:20:00,--,17:29:00,17:47:00,17:54:00,18:00:00,18:08:00
17:10:00,17:27:00,17:34:00,17:43:00,18:01:00,18:11:00,--,18:15:00,18:20:00,--,18:29:00,18:47:00,18:54:00,19:00:00,19:08:00
18:10:00,18:27:00,18:34:00,18:43:00,19:01:00,19:11:00,--,19:15:00,19:20:00,--,19:29:00,19:47:00,19:54:00,20:00:00,20:08:00
19:10:00,19:27:00,19:34:00,19:43:00,20:01:00,--,20:12:00,20:15:00,20:20:00,--,20:29:00,20:47:00,20:54:00,21:00:00,21:08:00
20:10:00,20:27:00,20:34:00,20:43:00,21:01:00,--,21:12:00,21:15:00,21:20:00,--,21:29:00,21:47:00,21:54:00,22:00:00,22:08:00
21:10:00,21:27:00,21:34:00,21:43:00,22:01:00,--,--,--,--,--,--,--,--,--,--
