central,baptistmedctr,JeffersonA18S,JeffersonA31S,wilesonhoward,wilesonhoward,JeffersonA31S,JeffersonA18S,baptistmedctr,central
--,--,--,--,--,05:25:00,05:30:00,05:39:00,05:48:00,05:58:00
05:36:00,05:46:00,05:56:00,06:04:00,06:14:00,06:14:00,06:19:00,06:28:00,06:37:00,06:47:00
06:24:00,06:34:00,06:44:00,06:52:00,07:02:00,07:05:00,07:10:00,07:19:00,07:28:00,07:38:00
07:11:00,07:21:00,07:31:00,07:39:00,07:49:00,07:52:00,07:57:00,08:06:00,08:15:00,08:25:00
08:01:00,08:11:00,08:21:00,08:29:00,08:39:00,08:42:00,08:47:00,08:56:00,09:05:00,09:15:00
08:51:00,09:01:00,09:11:00,09:19:00,09:29:00,09:32:00,09:37:00,09:46:00,09:55:00,10:07:00
09:41:00,09:51:00,10:01:00,10:09:00,10:19:00,10:22:00,10:27:00,10:36:00,10:45:00,10:55:00
10:31:00,10:41:00,10:51:00,10:59:00,11:09:00,11:12:00,11:17:00,11:26:00,11:35:00,11:45:00
11:21:00,11:31:00,11:41:00,11:49:00,11:59:00,12:02:00,12:07:00,12:16:00,12:25:00,12:35:00
12:11:00,12:21:00,12:31:00,12:39:00,12:49:00,12:52:00,12:57:00,13:06:00,13:15:00,13:25:00
13:01:00,13:11:00,13:21:00,13:29:00,13:39:00,13:42:00,13:47:00,13:56:00,14:05:00,14:15:00
13:51:00,14:01:00,14:11:00,14:19:00,14:29:00,14:32:00,14:37:00,14:46:00,14:55:00,15:07:00
14:41:00,14:51:00,15:01:00,15:09:00,15:19:00,15:22:00,15:27:00,15:36:00,15:45:00,15:55:00
15:31:00,15:41:00,15:51:00,15:59:00,16:09:00,16:12:00,16:17:00,16:26:00,16:35:00,16:45:00
16:21:00,16:34:00,16:41:00,16:46:00,16:59:00,17:02:00,17:07:00,17:16:00,17:25:00,17:37:00
17:11:00,17:21:00,17:31:00,17:39:00,17:49:00,17:52:00,17:57:00,18:06:00,18:15:00,18:25:00
18:01:00,18:11:00,18:21:00,18:29:00,18:39:00,18:42:00,18:47:00,18:56:00,19:05:00,19:15:00
18:51:00,19:01:00,19:11:00,19:19:00,19:29:00,19:32:00,19:37:00,19:46:00,19:55:00,20:07:00
19:41:00,19:51:00,20:01:00,20:09:00,20:19:00,20:22:00,20:27:00,20:36:00,20:45:00,20:55:00
20:30:00,20:33:00,20:43:00,21:01:00,21:11:00,--,--,--,--,--
